Data,Temperatura,Humidade,Temp_Change,Humidity_Change,Cluster,Cluster_Name
2023-01-06 20:00:00-03:00,27.0,83.0,-0.1999999999999993,0.4000000000000057,0,Stable Weather
2023-01-06 21:00:00-03:00,27.0,83.0,0.0,0.0,0,Stable Weather
2023-01-06 22:00:00-03:00,26.7,83.9,-0.3000000000000007,0.9000000000000057,0,Stable Weather
2023-01-06 23:00:00-03:00,26.5,85.4,-0.1999999999999993,1.5,1,Humid Region
2023-01-07 00:00:00-03:00,26.4,85.2,-0.10000000000000142,-0.20000000000000284,0,Stable Weather
2023-01-07 01:00:00-03:00,26.1,86.0,-0.29999999999999716,0.7999999999999972,1,Humid Region
2023-01-07 02:00:00-03:00,26.0,86.2,-0.10000000000000142,0.20000000000000284,1,Humid Region
2023-01-07 03:00:00-03:00,25.9,85.5,-0.10000000000000142,-0.7000000000000028,1,Humid Region
2023-01-07 04:00:00-03:00,25.5,87.6,-0.3999999999999986,2.0999999999999943,1,Humid Region
2023-01-07 05:00:00-03:00,25.2,89.7,-0.3000000000000007,2.1000000000000085,1,Humid Region
2023-01-07 06:00:00-03:00,28.1,78.4,2.900000000000002,-11.299999999999997,2,Rapid Change Zone
2023-01-07 07:00:00-03:00,28.4,76.2,0.29999999999999716,-2.200000000000003,0,Stable Weather
2023-01-07 08:00:00-03:00,29.4,70.7,1.0,-5.5,2,Rapid Change Zone
2023-01-07 09:00:00-03:00,30.2,68.2,0.8000000000000007,-2.5,0,Stable Weather
2023-01-07 10:00:00-03:00,30.5,67.4,0.3000000000000007,-0.7999999999999972,0,Stable Weather
2023-01-07 11:00:00-03:00,30.8,66.1,0.3000000000000007,-1.3000000000000114,0,Stable Weather
2023-01-07 12:00:00-03:00,30.7,67.8,-0.10000000000000142,1.7000000000000028,0,Stable Weather
2023-01-07 13:00:00-03:00,30.9,64.9,0.1999999999999993,-2.8999999999999915,0,Stable Weather
2023-01-07 14:00:00-03:00,30.4,67.7,-0.5,2.799999999999997,0,Stable Weather
2023-01-07 15:00:00-03:00,29.8,71.0,-0.5999999999999979,3.299999999999997,0,Stable Weather
2023-01-07 16:00:00-03:00,28.4,75.8,-1.4000000000000021,4.799999999999997,0,Stable Weather
2023-01-07 17:00:00-03:00,27.7,78.8,-0.6999999999999993,3.0,0,Stable Weather
2023-01-07 18:00:00-03:00,27.3,80.6,-0.3999999999999986,1.7999999999999972,0,Stable Weather
2023-01-07 19:00:00-03:00,27.1,80.2,-0.1999999999999993,-0.3999999999999915,0,Stable Weather
2023-01-07 20:00:00-03:00,26.8,80.5,-0.3000000000000007,0.29999999999999716,0,Stable Weather
2023-01-07 21:00:00-03:00,26.8,80.9,0.0,0.4000000000000057,0,Stable Weather
2023-01-07 22:00:00-03:00,26.8,81.2,0.0,0.29999999999999716,0,Stable Weather
2023-01-07 23:00:00-03:00,26.6,81.0,-0.1999999999999993,-0.20000000000000284,0,Stable Weather
2023-01-08 00:00:00-03:00,26.5,82.6,-0.10000000000000142,1.5999999999999943,0,Stable Weather
2023-01-08 01:00:00-03:00,25.7,86.7,-0.8000000000000007,4.1000000000000085,1,Humid Region
2023-01-08 02:00:00-03:00,25.8,87.8,0.10000000000000142,1.0999999999999943,1,Humid Region
2023-01-08 03:00:00-03:00,24.7,92.0,-1.1000000000000014,4.200000000000003,1,Humid Region
2023-01-08 04:00:00-03:00,24.1,93.9,-0.5999999999999979,1.9000000000000057,1,Humid Region
2023-01-08 05:00:00-03:00,24.3,93.5,0.1999999999999993,-0.4000000000000057,1,Humid Region
2023-01-08 06:00:00-03:00,27.3,83.4,3.0,-10.099999999999994,2,Rapid Change Zone
2023-01-08 07:00:00-03:00,29.3,72.4,2.0,-11.0,2,Rapid Change Zone
2023-01-08 08:00:00-03:00,29.8,71.2,0.5,-1.2000000000000028,0,Stable Weather
2023-01-08 09:00:00-03:00,29.4,74.5,-0.40000000000000213,3.299999999999997,0,Stable Weather
2023-01-08 10:00:00-03:00,30.0,71.8,0.6000000000000014,-2.700000000000003,0,Stable Weather
2023-01-08 11:00:00-03:00,29.8,72.5,-0.1999999999999993,0.7000000000000028,0,Stable Weather
2023-01-08 12:00:00-03:00,30.2,70.7,0.3999999999999986,-1.7999999999999972,0,Stable Weather
2023-01-08 13:00:00-03:00,30.0,71.6,-0.1999999999999993,0.8999999999999915,0,Stable Weather
2023-01-08 14:00:00-03:00,29.9,69.7,-0.10000000000000142,-1.8999999999999915,0,Stable Weather
2023-01-08 15:00:00-03:00,29.0,71.8,-0.8999999999999986,2.0999999999999943,0,Stable Weather
2023-01-08 16:00:00-03:00,28.6,74.1,-0.3999999999999986,2.299999999999997,0,Stable Weather
2023-01-08 17:00:00-03:00,27.7,78.7,-0.9000000000000021,4.6000000000000085,0,Stable Weather
2023-01-08 18:00:00-03:00,27.2,80.3,-0.5,1.5999999999999943,0,Stable Weather
2023-01-08 19:00:00-03:00,27.1,81.3,-0.09999999999999787,1.0,0,Stable Weather
2023-01-08 20:00:00-03:00,27.0,81.1,-0.10000000000000142,-0.20000000000000284,0,Stable Weather
