Data,Temperatura,Humidade,Temp_Change,Humidity_Change,Rolling_Var,Rolling_Mean,Inherent_Group,Cluster_Label,Anomaly
2023-01-06 19:00:00-03:00,27.2,82.6,0.0,0.0,0.0,0.0,1,Humid Region,0
2023-01-06 20:00:00-03:00,27.0,83.0,-0.1999999999999993,0.4000000000000057,0.0,0.0,1,Humid Region,0
2023-01-06 21:00:00-03:00,27.0,83.0,0.0,0.0,0.0,0.0,1,Humid Region,0
2023-01-06 22:00:00-03:00,26.7,83.9,-0.3000000000000007,0.9000000000000057,0.0,0.0,1,Humid Region,0
2023-01-06 23:00:00-03:00,26.5,85.4,-0.1999999999999993,1.5,0.0,0.0,1,Humid Region,0
2023-01-07 00:00:00-03:00,26.4,85.2,-0.10000000000000142,-0.20000000000000284,0.0,0.0,1,Humid Region,0
2023-01-07 01:00:00-03:00,26.1,86.0,-0.29999999999999716,0.7999999999999972,0.0,0.0,1,Humid Region,0
2023-01-07 02:00:00-03:00,26.0,86.2,-0.10000000000000142,0.20000000000000284,0.0,0.0,1,Humid Region,0
2023-01-07 03:00:00-03:00,25.9,85.5,-0.10000000000000142,-0.7000000000000028,0.0,0.0,1,Humid Region,0
2023-01-07 04:00:00-03:00,25.5,87.6,-0.3999999999999986,2.0999999999999943,0.3067777777777787,26.43,2,Rapid Change Zone,0
2023-01-07 05:00:00-03:00,25.2,89.7,-0.3000000000000007,2.1000000000000085,0.3645555555555569,26.23,1,Humid Region,0
2023-01-07 06:00:00-03:00,28.1,78.4,2.900000000000002,-11.299999999999997,0.6737777777777796,26.340000000000003,0,Stable Weather,0
2023-01-07 07:00:00-03:00,28.4,76.2,0.29999999999999716,-2.200000000000003,1.075111111111112,26.48,2,Rapid Change Zone,0
2023-01-07 08:00:00-03:00,29.4,70.7,1.0,-5.5,1.9361111111111111,26.75,0,Stable Weather,0
2023-01-07 09:00:00-03:00,30.2,68.2,0.8000000000000007,-2.5,3.099555555555554,27.119999999999997,0,Stable Weather,0
2023-01-07 10:00:00-03:00,30.5,67.4,0.3000000000000007,-0.7999999999999972,4.124555555555552,27.53,0,Stable Weather,0
2023-01-07 11:00:00-03:00,30.8,66.1,0.3000000000000007,-1.3000000000000114,4.839999999999997,28.0,0,Stable Weather,0
2023-01-07 12:00:00-03:00,30.7,67.8,-0.10000000000000142,1.7000000000000028,4.960111111111108,28.47,0,Stable Weather,0
2023-01-07 13:00:00-03:00,30.9,64.9,0.1999999999999993,-2.8999999999999915,4.604555555555553,28.97,0,Stable Weather,0
2023-01-07 14:00:00-03:00,30.4,67.7,-0.5,2.799999999999997,3.227111111111109,29.46,2,Rapid Change Zone,0
2023-01-07 15:00:00-03:00,29.8,71.0,-0.5999999999999979,3.299999999999997,0.9884444444444447,29.920000000000005,2,Rapid Change Zone,0
2023-01-07 16:00:00-03:00,28.4,75.8,-1.4000000000000021,4.799999999999997,0.8761111111111128,29.95,2,Rapid Change Zone,0
2023-01-07 17:00:00-03:00,27.7,78.8,-0.6999999999999993,3.0,1.1662222222222236,29.880000000000003,2,Rapid Change Zone,0
2023-01-07 18:00:00-03:00,27.3,80.6,-0.3999999999999986,1.7999999999999972,1.831222222222224,29.669999999999998,2,Rapid Change Zone,0
2023-01-07 19:00:00-03:00,27.1,80.2,-0.1999999999999993,-0.3999999999999915,2.427111111111114,29.360000000000003,2,Rapid Change Zone,0
2023-01-07 20:00:00-03:00,26.8,80.5,-0.3000000000000007,0.29999999999999716,2.858777777777784,28.99,2,Rapid Change Zone,0
2023-01-07 21:00:00-03:00,26.8,80.9,0.0,0.4000000000000057,2.8498888888889,28.589999999999996,2,Rapid Change Zone,0
2023-01-07 22:00:00-03:00,26.8,81.2,0.0,0.29999999999999716,2.542222222222241,28.2,2,Rapid Change Zone,0
2023-01-07 23:00:00-03:00,26.6,81.0,-0.1999999999999993,-0.20000000000000284,1.8112222222222516,27.77,2,Rapid Change Zone,0
2023-01-08 00:00:00-03:00,26.5,82.6,-0.10000000000000142,1.5999999999999943,1.0528888888889276,27.380000000000003,2,Rapid Change Zone,0
